n,R,T,config_norm,median_time_ms,solved_rate
200,0.8,0.2,adaptive_v1,0.0049499999999999995,1.0
200,0.8,0.2,adaptive_v2,0.0049,1.0
200,0.8,0.2,adaptive_v3,0.00475,1.0
200,0.8,0.2,both,0.0045,1.0
200,0.8,0.2,lawler,0.0047,1.0
200,0.8,0.2,szwarc,0.0045,1.0
200,0.8,0.4,adaptive_v1,0.0377,1.0
200,0.8,0.4,adaptive_v2,0.04305,1.0
200,0.8,0.4,adaptive_v3,0.04025,1.0
200,0.8,0.4,both,0.0429,1.0
200,0.8,0.4,lawler,0.03615,1.0
200,0.8,0.4,szwarc,1.07175,1.0
200,0.8,0.6,adaptive_v1,6.791,1.0
200,0.8,0.6,adaptive_v2,10.1657,1.0
200,0.8,0.6,adaptive_v3,10.01225,1.0
200,0.8,0.6,both,7.58295,1.0
200,0.8,0.6,lawler,6.7498000000000005,1.0
200,0.8,0.6,szwarc,12.6095,1.0
200,0.8,0.8,adaptive_v1,0.69095,1.0
200,0.8,0.8,adaptive_v2,0.9669,1.0
200,0.8,0.8,adaptive_v3,0.8736999999999999,1.0
200,0.8,0.8,both,0.5992999999999999,1.0
200,0.8,0.8,lawler,0.68565,1.0
200,0.8,0.8,szwarc,0.7093,1.0
200,1.0,0.2,adaptive_v1,0.0052,1.0
200,1.0,0.2,adaptive_v2,0.0055,1.0
200,1.0,0.2,adaptive_v3,0.0045,1.0
200,1.0,0.2,both,0.00445,1.0
200,1.0,0.2,lawler,0.0046,1.0
200,1.0,0.2,szwarc,0.00465,1.0
200,1.0,0.4,adaptive_v1,0.0047,1.0
200,1.0,0.4,adaptive_v2,0.00475,1.0
200,1.0,0.4,adaptive_v3,0.0047,1.0
200,1.0,0.4,both,0.00445,1.0
200,1.0,0.4,lawler,0.00545,1.0
200,1.0,0.4,szwarc,0.00455,1.0
200,1.0,0.6,adaptive_v1,1.1877,1.0
200,1.0,0.6,adaptive_v2,1.7081499999999998,1.0
200,1.0,0.6,adaptive_v3,1.8027,1.0
200,1.0,0.6,both,1.25245,1.0
200,1.0,0.6,lawler,1.16315,1.0
200,1.0,0.6,szwarc,1.94875,1.0
200,1.0,0.8,adaptive_v1,0.6271,1.0
200,1.0,0.8,adaptive_v2,0.7965,1.0
200,1.0,0.8,adaptive_v3,0.86,1.0
200,1.0,0.8,both,0.5458000000000001,1.0
200,1.0,0.8,lawler,0.6085,1.0
200,1.0,0.8,szwarc,0.6954,1.0
300,0.2,0.2,adaptive_v1,24.12795,1.0
300,0.2,0.2,adaptive_v2,47.7732,1.0
300,0.2,0.2,adaptive_v3,44.3388,1.0
300,0.2,0.2,both,21.315350000000002,1.0
300,0.2,0.2,lawler,25.18065,1.0
300,0.2,0.2,szwarc,50.0989,1.0
300,0.2,0.4,adaptive_v1,929.9793,1.0
300,0.2,0.4,adaptive_v2,1307.17865,1.0
300,0.2,0.4,adaptive_v3,1186.3593999999998,1.0
300,0.2,0.4,both,878.27205,1.0
300,0.2,0.4,lawler,940.60075,1.0
300,0.2,0.4,szwarc,2176.58135,1.0
300,0.2,0.6,adaptive_v1,2246.8044,1.0
300,0.2,0.6,adaptive_v2,2693.8518999999997,1.0
300,0.2,0.6,adaptive_v3,2407.932,1.0
300,0.2,0.6,both,2079.0824000000002,1.0
300,0.2,0.6,lawler,2237.6884,1.0
300,0.2,0.6,szwarc,3416.3620499999997,1.0
300,0.2,0.8,adaptive_v1,540.51655,1.0
300,0.2,0.8,adaptive_v2,789.6866,1.0
300,0.2,0.8,adaptive_v3,774.7647,1.0
300,0.2,0.8,both,617.83285,1.0
300,0.2,0.8,lawler,539.7189000000001,1.0
300,0.2,0.8,szwarc,1035.98265,1.0
300,0.4,0.2,adaptive_v1,0.006,1.0
300,0.4,0.2,adaptive_v2,0.0056,1.0
300,0.4,0.2,adaptive_v3,0.0124,1.0
300,0.4,0.2,both,0.00655,1.0
300,0.4,0.2,lawler,0.0054,1.0
300,0.4,0.2,szwarc,0.0062,1.0
300,0.4,0.4,adaptive_v1,155.52280000000002,1.0
300,0.4,0.4,adaptive_v2,358.95245,1.0
300,0.4,0.4,adaptive_v3,311.01135,1.0
300,0.4,0.4,both,173.62709999999998,1.0
300,0.4,0.4,lawler,156.02465,1.0
300,0.4,0.4,szwarc,484.68105,1.0
300,0.4,0.6,adaptive_v1,471.25155,1.0
300,0.4,0.6,adaptive_v2,1016.3931499999999,1.0
300,0.4,0.6,adaptive_v3,949.961,1.0
300,0.4,0.6,both,540.361,1.0
300,0.4,0.6,lawler,460.30089999999996,1.0
300,0.4,0.6,szwarc,1261.6335,1.0
300,0.4,0.8,adaptive_v1,4.72445,1.0
300,0.4,0.8,adaptive_v2,6.561450000000001,1.0
300,0.4,0.8,adaptive_v3,6.939349999999999,1.0
300,0.4,0.8,both,4.9829,1.0
300,0.4,0.8,lawler,4.985250000000001,1.0
