source_file,config_norm,n,R,T,seed,solve_only_time_ms,solve_with_reconstruction_time_ms,overhead_ms,overhead_percent,wall_overhead_ms,wall_overhead_percent,actual_reconstruction_time_ms,solve_only_memory_mb,objective_match,order_valid,memory_mb,memory_ratio_to_solve_only,trace_hits,trace_fallbacks
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.4,3,105850.0,106969.0,1119.0,1.0571563533301842,1151.476,1.086186,2.4356,2231.8,True,True,3058.39,1.3703692087104578,399.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.2,0.4,4,144088.0,145873.0,1785.0,1.2388262728332686,1843.315,1.277362,2.9644,2863.85,True,True,3924.53,1.370368559805856,423.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.4,0.6,0,78210.0,78866.8,656.8000000000029,0.8397903081447422,696.957,0.890001,4.2517,1244.07,True,True,1704.84,1.3703730497480044,591.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.4,0.6,1,126566.0,127624.0,1058.0,0.8359275002765355,1131.49,0.893075,4.9496,1887.49,True,True,2586.56,1.3703701741466179,663.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.4,0.6,2,93620.2,94157.6,537.4000000000087,0.5740214184545737,602.514,0.642909,4.9267,1471.76,True,True,2016.85,1.3703660922976573,689.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.4,0.6,3,123757.0,124963.0,1206.0,0.974490331860016,1253.746,1.011963,4.8036,1793.07,True,True,2457.17,1.3703703703703705,670.0,0.0
C:\c++\test2\results\best_reconstruction_overhead\raw_results.csv,new_solve_with_reconstruction,1100,0.4,0.6,4,156782.0,157916.0,1134.0,0.7232973172940771,1164.433,0.741827,5.1377,2231.97,True,True,3058.62,1.370367881288727,661.0,0.0
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.6,0,18.0566,18.3814,0.32479999999999976,1.7987882547101879,-40.968,-55.866,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.6,1,29.3964,28.8782,-0.5182000000000002,-1.7628008871834653,5.97,16.509,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.6,2,11.1865,11.2095,0.022999999999999687,0.20560497027666996,5.267,29.55,,,True,True,,,,
C:\c++\test2\results\reconstruction_overhead\raw_results.csv,old_solve_with_reconstruction,100,0.2,0.6,3,14.3446,14.6927,0.3481000000000005,2.426697154329856,6.539,31.23,,,True,True,,,,
