source_file,source_scheme,series_norm,n,R,T,seed,instance_key,config_norm,status_norm,solved,objective_norm,time_ms_norm,timeout_sec_norm,penalized_time_ms,memory_peak_bytes_norm,nodes,process_memory_gate,possibly_process_gated,memo_exact_hits,memo_exact_queries,memo_lb_hits,memo_lb_queries,bound_time_ms,cleanup_time_ms,memo_cleanup_time_ms,memo_clean_time_ms,simple_lb_calls,simple_lb_prunes,memo_full_key_verification,enable_exact_memo,enable_memo,memory_limit_gb,memo_backend,enable_simple_lb,enable_lb_memo,enable_edd_ub,reconstruct_order,reconstruction_trace
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,4,50|R=0.4|T=0.2|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_5.txt,ours_reconstruct,solved,True,9.0,53.402,,53.402,1708032.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,5,50|R=0.4|T=0.2|seed=5|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_6.txt,ours_reconstruct,solved,True,38.0,54.187,,54.187,1740800.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,6,50|R=0.4|T=0.2|seed=6|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_7.txt,ours_reconstruct,solved,True,30.0,53.36,,53.36,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,7,50|R=0.4|T=0.2|seed=7|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_8.txt,ours_reconstruct,solved,True,138.0,53.343,,53.343,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,8,50|R=0.4|T=0.2|seed=8|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_9.txt,ours_reconstruct,solved,True,0.0,53.573,,53.573,1765376.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.2,9,50|R=0.4|T=0.2|seed=9|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.2_10.txt,ours_reconstruct,solved,True,32.0,53.92,,53.92,1736704.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,0,50|R=0.4|T=0.4|seed=0|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_1.txt,ours_reconstruct,solved,True,3420.0,53.44,,53.44,1798144.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,1,50|R=0.4|T=0.4|seed=1|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_2.txt,ours_reconstruct,solved,True,2035.0,53.441,,53.441,1777664.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,2,50|R=0.4|T=0.4|seed=2|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_3.txt,ours_reconstruct,solved,True,2860.0,53.359,,53.359,1622016.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,3,50|R=0.4|T=0.4|seed=3|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_4.txt,ours_reconstruct,solved,True,3260.0,53.679,,53.679,1830912.0,,False,False,,,,,,,,,,,,,,,,,,,,
C:\c++\test2\results\article_code_comparison\raw_results.csv,article_code_comparison,article_code_comparison,50,0.4,0.4,4,50|R=0.4|T=0.4|seed=4|file=D:\test2\results\article_code_comparison\data\50\SDT_50_0.4_0.4_5.txt,ours_reconstruct,solved,True,2723.0,53.517,,53.517,1781760.0,,False,False,,,,,,,,,,,,,,,,,,,,
