series_norm,config_norm,n,R,T,total_count,solved_count,solved_rate,oot_count,oom_count,err_count,median_time_ms_solved,p90_time_ms_solved,median_penalized_time_ms,p90_penalized_time_ms,median_nodes,p90_nodes,median_memory_peak_bytes,p90_memory_peak_bytes,median_memo_exact_hit_rate,median_memo_lb_hit_rate,median_bound_time_share,median_cleanup_time_share
article_code_comparison,article_code,400,0.2,0.4,10,10,1.0,0,0,0,2657.0235000000002,4604.9234,2657.0235000000002,4604.9234,,,182431744.0,310155673.6,,,,
article_code_comparison,article_code,400,0.2,0.6,10,10,1.0,0,0,0,7397.4439999999995,9201.8203,7397.4439999999995,9201.8203,,,518203392.0,650515660.8,,,,
article_code_comparison,article_code,400,0.2,0.8,10,10,1.0,0,0,0,2759.273,3674.8364,2759.273,3674.8364,,,199936000.0,263245004.79999998,,,,
article_code_comparison,article_code,400,0.4,0.2,10,10,1.0,0,0,0,60.1135,60.3183,60.1135,60.3183,,,1810432.0,1864089.6,,,,
article_code_comparison,article_code,400,0.4,0.4,10,10,1.0,0,0,0,361.5235,816.3437999999999,361.5235,816.3437999999999,,,26255360.0,57954303.99999999,,,,
article_code_comparison,article_code,400,0.4,0.6,10,10,1.0,0,0,0,2507.9444999999996,3838.4628,2507.9444999999996,3838.4628,,,180469760.0,273547264.0,,,,
article_code_comparison,article_code,400,0.4,0.8,10,10,1.0,0,0,0,60.0035,66.12499999999999,60.0035,66.12499999999999,,,1808384.0,2526412.799999998,,,,
article_code_comparison,article_code,400,0.6,0.2,10,10,1.0,0,0,0,60.0975,60.3314,60.0975,60.3314,,,1808384.0,1872281.6,,,,
article_code_comparison,article_code,400,0.6,0.4,10,10,1.0,0,0,0,59.959,66.15319999999998,59.959,66.15319999999998,,,1810432.0,2485862.3999999976,,,,
article_code_comparison,article_code,400,0.6,0.6,10,10,1.0,0,0,0,813.109,1535.5963,813.109,1535.5963,,,53213184.0,111391129.6,,,,
article_code_comparison,article_code,400,0.6,0.8,10,10,1.0,0,0,0,60.097,60.2391,60.097,60.2391,,,1843200.0,1941913.6,,,,
article_code_comparison,article_code,400,0.8,0.2,10,10,1.0,0,0,0,60.236,60.3925,60.236,60.3925,,,1810432.0,1832550.4,,,,
article_code_comparison,article_code,400,0.8,0.4,10,10,1.0,0,0,0,60.195499999999996,60.3363,60.195499999999996,60.3363,,,1806336.0,1848524.8,,,,
article_code_comparison,article_code,400,0.8,0.6,10,10,1.0,0,0,0,115.1345,179.6042,115.1345,179.6042,,,8171520.0,12057804.799999999,,,,
article_code_comparison,article_code,400,0.8,0.8,10,10,1.0,0,0,0,60.156499999999994,60.2966,60.156499999999994,60.2966,,,1816576.0,1839104.0,,,,
article_code_comparison,article_code,400,1.0,0.2,20,10,0.5,0,0,10,53.718,54.571200000000005,6000027.777,12000000.0,,,2033664.0,2183577.6,,,,
article_code_comparison,article_code,400,1.0,0.4,20,10,0.5,0,0,10,54.0985,55.706199999999995,6000028.007,12000000.0,,,2004992.0,2197913.6,,,,
article_code_comparison,article_code,400,1.0,0.6,20,10,0.5,0,0,10,53.882999999999996,54.6097,6000027.4385,12000000.0,,,1998848.0,2202419.2,,,,
article_code_comparison,article_code,400,1.0,0.8,20,10,0.5,0,0,10,54.379999999999995,54.9563,6000027.4975,12000000.0,,,1968128.0,2186035.2,,,,
article_code_comparison,article_code,500,0.2,0.2,10,10,1.0,0,0,0,149.94050000000001,299.95930000000004,149.94050000000001,299.95930000000004,,,10475520.0,21201715.2,,,,
article_code_comparison,article_code,500,0.2,0.4,10,10,1.0,0,0,0,9274.735499999999,10546.950099999998,9274.735499999999,10546.950099999998,,,648568832.0,741688934.4,,,,
article_code_comparison,article_code,500,0.2,0.6,10,10,1.0,0,0,0,20583.586,22795.288599999996,20583.586,22795.288599999996,,,1503932416.0,1615316991.9999998,,,,
article_code_comparison,article_code,500,0.2,0.8,10,10,1.0,0,0,0,5743.665999999999,7357.4631,5743.665999999999,7357.4631,,,415549440.0,557106790.4,,,,
article_code_comparison,article_code,500,0.4,0.2,10,10,1.0,0,0,0,60.091499999999996,60.2427,60.091499999999996,60.2427,,,1816576.0,1897267.2,,,,
article_code_comparison,article_code,500,0.4,0.4,10,10,1.0,0,0,0,1390.2314999999999,2000.3526000000002,1390.2314999999999,2000.3526000000002,,,101048320.0,144224665.6,,,,
article_code_comparison,article_code,500,0.4,0.6,10,10,1.0,0,0,0,6648.8405,9125.1237,6648.8405,9125.1237,,,494452736.0,662711091.1999999,,,,
article_code_comparison,article_code,500,0.4,0.8,10,10,1.0,0,0,0,60.0155,132.22269999999995,60.0155,132.22269999999995,,,1904640.0,9747660.799999997,,,,
article_code_comparison,article_code,500,0.6,0.2,10,10,1.0,0,0,0,60.21,60.308099999999996,60.21,60.308099999999996,,,1865728.0,1897676.8,,,,
article_code_comparison,article_code,500,0.6,0.4,10,10,1.0,0,0,0,119.7595,230.9376,119.7595,230.9376,,,8503296.0,16135372.799999999,,,,
article_code_comparison,article_code,500,0.6,0.6,10,10,1.0,0,0,0,2024.411,2816.4720999999995,2024.411,2816.4720999999995,,,141615104.0,201574399.99999997,,,,
article_code_comparison,article_code,500,0.6,0.8,10,10,1.0,0,0,0,60.172,60.3917,60.172,60.3917,,,1814528.0,1852211.2,,,,
article_code_comparison,article_code,500,0.8,0.2,10,10,1.0,0,0,0,60.2035,60.391600000000004,60.2035,60.391600000000004,,,1800192.0,1824358.4,,,,
article_code_comparison,article_code,500,0.8,0.4,10,10,1.0,0,0,0,60.1675,60.2156,60.1675,60.2156,,,1810432.0,1872281.6,,,,
article_code_comparison,article_code,500,0.8,0.6,10,10,1.0,0,0,0,110.06649999999999,375.17569999999995,110.06649999999999,375.17569999999995,,,8214528.0,27432140.799999997,,,,
article_code_comparison,article_code,500,0.8,0.8,10,10,1.0,0,0,0,60.176500000000004,60.2212,60.176500000000004,60.2212,,,1814528.0,1875968.0,,,,
article_code_comparison,article_code,500,1.0,0.2,20,10,0.5,0,0,10,54.1785,54.9653,6000028.0645,12000000.0,,,1998848.0,2197094.4,,,,
article_code_comparison,article_code,500,1.0,0.4,20,10,0.5,0,0,10,54.0285,55.192,6000029.0945,12000000.0,,,1998848.0,2179072.0,,,,
article_code_comparison,article_code,500,1.0,0.6,20,10,0.5,0,0,10,54.180499999999995,56.1869,6000029.803,12000000.0,,,2105344.0,2263040.0,,,,
article_code_comparison,article_code,500,1.0,0.8,20,10,0.5,0,0,10,54.34,54.8522,6000027.535,12000000.0,,,1996800.0,2264268.8000000003,,,,
article_code_comparison,article_code,600,0.2,0.2,10,10,1.0,0,0,0,389.834,606.5379,389.834,606.5379,,,27492352.0,39494041.6,,,,
article_code_comparison,article_code,600,0.2,0.4,10,10,1.0,0,0,0,14742.822,18569.5181,14742.822,18569.5181,,,1033400320.0,1316085350.3999999,,,,
article_code_comparison,article_code,600,0.2,0.6,10,10,1.0,0,0,0,33642.99800000001,51010.8672,33642.99800000001,51010.8672,,,2483767296.0,3746994175.9999995,,,,
article_code_comparison,article_code,600,0.2,0.8,10,10,1.0,0,0,0,12186.0585,14799.477599999997,12186.0585,14799.477599999997,,,912070656.0,1166312243.1999998,,,,
article_code_comparison,article_code,600,0.4,0.2,10,10,1.0,0,0,0,60.101,60.212500000000006,60.101,60.212500000000006,,,1839104.0,1874739.2,,,,
article_code_comparison,article_code,600,0.4,0.4,10,10,1.0,0,0,0,2387.094,2870.2598,2387.094,2870.2598,,,172294144.0,207022079.99999997,,,,
article_code_comparison,article_code,600,0.4,0.6,10,10,1.0,0,0,0,11336.252,15005.540099999998,11336.252,15005.540099999998,,,843614208.0,1145449267.1999998,,,,
article_code_comparison,article_code,600,0.4,0.8,10,10,1.0,0,0,0,85.378,304.95939999999996,85.378,304.95939999999996,,,5140480.0,19833241.599999998,,,,
article_code_comparison,article_code,600,0.6,0.2,10,10,1.0,0,0,0,60.087,60.2596,60.087,60.2596,,,1832960.0,1910784.0,,,,
article_code_comparison,article_code,600,0.6,0.4,10,10,1.0,0,0,0,179.853,240.1224,179.853,240.1224,,,12439552.0,17238835.2,,,,
article_code_comparison,article_code,600,0.6,0.6,10,10,1.0,0,0,0,2840.8745,4435.4083,2840.8745,4435.4083,,,202745856.0,314677248.0,,,,
article_code_comparison,article_code,600,0.6,0.8,10,10,1.0,0,0,0,60.118,60.3151,60.118,60.3151,,,1812480.0,1826406.4,,,,
article_code_comparison,article_code,600,0.8,0.2,10,10,1.0,0,0,0,60.072,60.286699999999996,60.072,60.286699999999996,,,1802240.0,1820262.4,,,,
article_code_comparison,article_code,600,0.8,0.4,10,10,1.0,0,0,0,60.113,60.2264,60.113,60.2264,,,1808384.0,1880064.0,,,,
article_code_comparison,article_code,600,0.8,0.6,10,10,1.0,0,0,0,270.025,688.8765,270.025,688.8765,,,17870848.0,45038387.199999996,,,,
article_code_comparison,article_code,600,0.8,0.8,10,10,1.0,0,0,0,60.0715,60.2138,60.0715,60.2138,,,1810432.0,1814528.0,,,,
article_code_comparison,article_code,600,1.0,0.2,20,10,0.5,0,0,10,54.31699999999999,54.5092,6000027.323,12000000.0,,,1988608.0,2168012.8,,,,
article_code_comparison,article_code,600,1.0,0.4,20,10,0.5,0,0,10,53.6495,54.6385,6000027.4205,12000000.0,,,1972224.0,2190131.2,,,,
article_code_comparison,article_code,600,1.0,0.6,20,10,0.5,0,0,10,54.552499999999995,58.1102,6000029.272,12000000.0,,,1998848.0,2190540.8000000003,,,,
article_code_comparison,article_code,600,1.0,0.8,20,10,0.5,0,0,10,54.042,55.4426,6000028.9975,12000000.0,,,1998848.0,2179481.6,,,,
article_code_comparison,article_code,700,0.2,0.2,10,10,1.0,0,0,0,539.6785,864.1139,539.6785,864.1139,,,36605952.0,60091596.8,,,,
article_code_comparison,article_code,700,0.2,0.4,10,10,1.0,0,0,0,29523.3525,32960.973099999996,29523.3525,32960.973099999996,,,2081130496.0,2399519539.2,,,,
article_code_comparison,article_code,700,0.2,0.6,10,10,1.0,0,0,0,74305.839,96488.93519999999,74305.839,96488.93519999999,,,5621628928.0,7085131366.4,,,,
article_code_comparison,article_code,700,0.2,0.8,10,10,1.0,0,0,0,24408.182,29441.339299999996,24408.182,29441.339299999996,,,1907843072.0,2288474931.2,,,,
article_code_comparison,article_code,700,0.4,0.2,10,10,1.0,0,0,0,60.052499999999995,60.224599999999995,60.052499999999995,60.224599999999995,,,1810432.0,1875558.4,,,,
article_code_comparison,article_code,700,0.4,0.4,10,10,1.0,0,0,0,4624.6404999999995,6297.8105000000005,4624.6404999999995,6297.8105000000005,,,338692096.0,456515993.6,,,,
article_code_comparison,article_code,700,0.4,0.6,10,10,1.0,0,0,0,23078.372,34050.4992,23078.372,34050.4992,,,1810204672.0,2649957990.4,,,,
article_code_comparison,article_code,700,0.4,0.8,10,10,1.0,0,0,0,119.867,329.7773999999999,119.867,329.7773999999999,,,8409088.0,21313945.599999994,,,,
article_code_comparison,article_code,700,0.6,0.2,10,10,1.0,0,0,0,60.129000000000005,60.2397,60.129000000000005,60.2397,,,1818624.0,1871872.0,,,,
article_code_comparison,article_code,700,0.6,0.4,10,10,1.0,0,0,0,299.878,420.2224,299.878,420.2224,,,20189184.0,28904243.2,,,,
article_code_comparison,article_code,700,0.6,0.6,10,10,1.0,0,0,0,5831.845499999999,11447.4021,5831.845499999999,11447.4021,,,408008704.0,836096000.0,,,,
article_code_comparison,article_code,700,0.6,0.8,10,10,1.0,0,0,0,60.09,60.2408,60.09,60.2408,,,1824768.0,1876377.6,,,,
article_code_comparison,article_code,700,0.8,0.2,10,10,1.0,0,0,0,60.1165,60.2145,60.1165,60.2145,,,1808384.0,1912012.8,,,,
article_code_comparison,article_code,700,0.8,0.4,10,10,1.0,0,0,0,60.116,60.326699999999995,60.116,60.326699999999995,,,1808384.0,1865318.4,,,,
article_code_comparison,article_code,700,0.8,0.6,10,10,1.0,0,0,0,209.893,1141.9895999999999,209.893,1141.9895999999999,,,14024704.0,77400883.19999999,,,,
article_code_comparison,article_code,700,0.8,0.8,10,10,1.0,0,0,0,60.0015,60.1143,60.0015,60.1143,,,1808384.0,1831321.6,,,,
