R,T,n,rows,median_ours_wall_time_s,median_article_wall_time_s,median_ours_peak_gb,median_article_peak_gb,median_time_ratio,median_memory_ratio
0.6,0.4,200,10,0.054013500000000006,0.053225,0.001659393310546875,0.0016880035400390625,1.0076935,0.9660195
0.6,0.4,300,10,0.053786,0.053416000000000005,0.00164794921875,0.00168609619140625,1.0037145,0.974979
0.6,0.4,400,10,0.063043,0.059959,0.0022068023681640625,0.00168609619140625,1.0523055000000001,1.3088235
0.6,0.4,500,10,0.1825965,0.1197595,0.017061233520507812,0.0079193115234375,1.52446,2.1414995
0.6,0.4,600,10,0.242701,0.17985299999999999,0.02378082275390625,0.011585235595703125,1.431092,2.0567219999999997
0.6,0.4,700,10,0.4225265,0.299878,0.03575325012207031,0.018802642822265625,1.5033465000000001,1.970837
0.6,0.4,800,10,0.7424580000000001,0.511793,0.0539093017578125,0.0336456298828125,1.44316,1.610644
0.6,0.4,900,10,1.4355665,0.9976114999999999,0.08497047424316406,0.06281089782714844,1.3458255,1.2371245000000002
0.6,0.4,1000,10,1.292328,0.9673935,0.08934783935546875,0.064849853515625,1.3615,1.2993675
0.6,0.4,1100,10,2.0359745,1.4376125000000002,0.11851119995117188,0.08957481384277344,1.4769895,1.4460875
0.6,0.6,50,10,0.053631,0.0534325,0.001628875732421875,0.00168609619140625,1.002223,0.9491365
0.6,0.6,100,10,0.0539475,0.05354,0.001651763916015625,0.001689910888671875,1.007182,0.9655515
0.6,0.6,200,10,0.104309,0.054473499999999994,0.007282257080078125,0.0044498443603515625,1.6906240000000001,1.0731385
0.6,0.6,300,10,0.28348999999999996,0.20602199999999998,0.016126632690429688,0.0134429931640625,1.4992995,1.2309904999999999
0.6,0.6,400,10,1.23271,0.8131090000000001,0.04885292053222656,0.04955863952636719,1.455149,0.9289385
0.6,0.6,500,10,2.7537225000000003,2.0244109999999997,0.08919143676757812,0.13188934326171875,1.318248,0.6412979999999999
0.6,0.6,600,10,4.3464165,2.8408745,0.131683349609375,0.18882179260253906,1.3163245,0.633711
0.6,0.6,700,10,7.646751,5.8318455,0.2153491973876953,0.3799877166748047,1.307323,0.557158
0.6,0.6,800,10,15.5962345,13.567863000000001,0.4048023223876953,0.8975601196289062,1.1600595,0.4320615
0.6,0.6,900,10,18.568648,15.601247,0.5108184814453125,1.023336410522461,1.1837015,0.4570165
0.6,0.6,1000,10,28.643746500000002,24.402987500000002,0.7004814147949219,1.7072887420654297,1.1175834999999998,0.413253
0.6,0.6,1100,10,51.165153000000004,44.386449,1.151632308959961,3.037446975708008,1.168029,0.41558300000000004
0.6,0.8,50,10,0.053761500000000004,0.053586,0.0016536712646484375,0.0016841888427734375,1.000067,0.970297
0.6,0.8,100,10,0.05351550000000001,0.053387500000000004,0.0016326904296875,0.001689910888671875,1.0032775,0.9579495
0.6,0.8,200,10,0.0535345,0.053603,0.0016727447509765625,0.001689910888671875,1.0023835,0.967177
0.6,0.8,300,10,0.053669999999999995,0.053489499999999995,0.0016422271728515625,0.001720428466796875,1.0038065,0.9509635
0.6,0.8,400,10,0.06298799999999999,0.060097,0.0020351409912109375,0.00171661376953125,1.0485929999999999,1.1857215
0.6,0.8,500,10,0.0629715,0.060172,0.002002716064453125,0.001689910888671875,1.045262,1.1846805
0.6,0.8,600,10,0.0628485,0.060118000000000005,0.0021038055419921875,0.0016880035400390625,1.0457755,1.2311429999999999
0.6,0.8,700,10,0.06265799999999999,0.060090000000000005,0.0020294189453125,0.0016994476318359375,1.0441150000000001,1.200903
0.6,0.8,800,10,0.0625465,0.060064,0.0018405914306640625,0.001682281494140625,1.0393075,1.0810405
0.6,0.8,900,10,0.0625925,0.05993950000000001,0.002044677734375,0.001705169677734375,1.0430435,1.174169
0.6,0.8,1000,10,0.0622525,0.059982,0.001789093017578125,0.0016880035400390625,1.0363155,1.0509840000000001
